"REGISTRY_ID","PGM_SYS_ACRNM","PGM_SYS_ID","INTEREST_TYPE","NAICS_CODE","PRIMARY_INDICATOR","CODE_DESCRIPTION"
"110000351887","SC-EFIS","SC0000095968","STATE MASTER","332312","UNKNOWN","FABRICATED STRUCTURAL METAL MANUFACTURING."
"110000351887","AIR","SC00015600148","AIR - NOT APPLICABLE","332312","PRIMARY","FABRICATED STRUCTURAL METAL MANUFACTURING."
"110000351887","AIRS/AFS","4506300148","AIR MINOR","332312","PRIMARY","FABRICATED STRUCTURAL METAL MANUFACTURING."
"110000351887","TRIS","29171SPRYF31NEW","TRI REPORTER","331111","PRIMARY","IRON AND STEEL MILLS."
"110000351887","OSHA-OIS","342289071","OSHA ESTABLISHMENT","331111","PRIMARY","IRON AND STEEL MILLS."
"110000351887","AIR","SC00015600124","AIR - NOT APPLICABLE","562920","PRIMARY","MATERIALS RECOVERY FACILITIES."
"110000351887","SC-EFIS","SC0000094383","STATE MASTER","332312","UNKNOWN","FABRICATED STRUCTURAL METAL MANUFACTURING."
"110000351912","AIRS/AFS","4507900150","AIR MAJOR","332312","PRIMARY","FABRICATED STRUCTURAL METAL MANUFACTURING."
"110000351912","TRIS","29044SMJST2059C","TRI REPORTER","332312","PRIMARY","FABRICATED STRUCTURAL METAL MANUFACTURING."
"110000351912","EIS","3426511","CRITERIA AIR POLLUTANT MAJOR","332312","PRIMARY","FABRICATED STRUCTURAL METAL MANUFACTURING."
"110000351912","RCRAINFO","SC0000193623","VSQG","331112","PRIMARY","ELECTROMETALLURGICAL FERROALLOY PRODUCT MANUFACTURING."
"110000351912","RCRAINFO","SC0000193623","VSQG","332312","SECONDARY","FABRICATED STRUCTURAL METAL MANUFACTURING."
"110000351930","AIR","SC00013800017","AIR MAJOR","325199","PRIMARY","ALL OTHER BASIC ORGANIC CHEMICAL MANUFACTURING."
"110000351930","RMP","100000089637","RMP REPORTER","325998","UNKNOWN","ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING."
"110000351930","RMP","100000089637","RMP REPORTER","32551","UNKNOWN","PAINT AND COATING MANUFACTURING"
"110000351930","AIRS/AFS","4505500017","AIR MAJOR","325199","PRIMARY","ALL OTHER BASIC ORGANIC CHEMICAL MANUFACTURING."
"110000351930","AIR","SC00013800063","AIR - NOT APPLICABLE","221119","PRIMARY","OTHER ELECTRIC POWER GENERATION."
"110000351930","RMP","100000089637","RMP REPORTER","32541","UNKNOWN","PHARMACEUTICAL AND MEDICINE MANUFACTURING"
"110000351930","RMP","100000089637","RMP REPORTER","32532","UNKNOWN","PESTICIDE AND OTHER AGRICULTURAL CHEMICAL MANUFACTURING"
"110000351930","SC-EFIS","SC0000218970","STATE MASTER","221111","UNKNOWN","HYDROELECTRIC POWER GENERATION."
"110000351930","OSHA-OIS","316617646","OSHA ESTABLISHMENT","325411","PRIMARY","MEDICINAL AND BOTANICAL MANUFACTURING."
"110000351930","RCRAINFO","SCD042627448","LQG","325199","PRIMARY","ALL OTHER BASIC ORGANIC CHEMICAL MANUFACTURING."
"110000351930","RCRAINFO","SCD042627448","LQG","32511","SECONDARY","PETROCHEMICAL MANUFACTURING"
"110000351930","RCRAINFO","SCD042627448","TSD","325199","PRIMARY","ALL OTHER BASIC ORGANIC CHEMICAL MANUFACTURING."
"110000351930","RCRAINFO","SCD042627448","TSD","32511","SECONDARY","PETROCHEMICAL MANUFACTURING"
"110000351930","AIRS/AFS","4505500063","AIR SYNTHETIC MINOR","221119","PRIMARY","OTHER ELECTRIC POWER GENERATION."
"110000351930","TRIS","29045HRDWC2114L","TRI REPORTER","325199","PRIMARY","ALL OTHER BASIC ORGANIC CHEMICAL MANUFACTURING."
"110000351930","EIS","4762511","HAZARDOUS AIR POLLUTANT MAJOR","325199","PRIMARY","ALL OTHER BASIC ORGANIC CHEMICAL MANUFACTURING."
"110000351949","RCRAINFO","SCD003351905","UNSPECIFIED UNIVERSE","321219","SECONDARY","RECONSTITUTED WOOD PRODUCT MANUFACTURING."
"110000351949","AIRS/AFS","4507500038","AIR MAJOR","321219","PRIMARY","RECONSTITUTED WOOD PRODUCT MANUFACTURING."
"110000351949","RCRAINFO","SCD003351905","UNSPECIFIED UNIVERSE","321211","PRIMARY","HARDWOOD VENEER AND PLYWOOD MANUFACTURING."
"110000351949","EIS","5722111","HAZARDOUS AND CRITERIA AIR POLLUTANT MAJOR","321219","PRIMARY","RECONSTITUTED WOOD PRODUCT MANUFACTURING."
"110000351949","AIR","SC00018600038","AIR - NOT APPLICABLE","321219","PRIMARY","RECONSTITUTED WOOD PRODUCT MANUFACTURING."
"110000351949","RCRAINFO","SCD003351905","UNSPECIFIED UNIVERSE","321113","SECONDARY","SAWMILLS."
"110000351949","TRIS","29059GRGPCHIGHW","TRI REPORTER","321219","PRIMARY","RECONSTITUTED WOOD PRODUCT MANUFACTURING."
"110000351949","RCRAINFO","SCD980559934","VSQG","562212","PRIMARY","SOLID WASTE LANDFILL."
"110000351958","ICIS","600020281","ENFORCEMENT/COMPLIANCE ACTIVITY","311225","SECONDARY","FATS AND OILS REFINING AND BLENDING."
"110000351958","ICIS","600020281","ENFORCEMENT/COMPLIANCE ACTIVITY","424710","SECONDARY","PETROLEUM BULK STATIONS AND TERMINALS."
"110000351967","TRIS","29070JBMRTEASTA","TRI REPORTER","313210","PRIMARY","BROADWOVEN FABRIC MILLS."
"110000351967","AIR","SC00015600095","AIR SYNTHETIC MINOR","313210","PRIMARY","BROADWOVEN FABRIC MILLS."
"110000351967","AIRS/AFS","4506300095","AIR SYNTHETIC MINOR","313210","PRIMARY","BROADWOVEN FABRIC MILLS."
"110000351976","RCRAINFO","SCD055284764","SQG","333991","PRIMARY","POWER-DRIVEN HANDTOOL MANUFACTURING."
"110000351976","TRIS","29072CPRPW670IN","TRI REPORTER","333991","PRIMARY","POWER-DRIVEN HANDTOOL MANUFACTURING."
"110000351976","AIRS/AFS","4506300052","AIR MINOR","333991","PRIMARY","POWER-DRIVEN HANDTOOL MANUFACTURING."
"110000351976","EIS","3794811","AIR MINOR","333991","PRIMARY","POWER-DRIVEN HANDTOOL MANUFACTURING."
"110000351985","RCRAINFO","SCD062691290","UNSPECIFIED UNIVERSE","331222","PRIMARY","STEEL WIRE DRAWING."
"110000351985","TRIS","29072CRLNSI20SC","TRI REPORTER","325211","PRIMARY","PLASTICS MATERIAL AND RESIN MANUFACTURING."
"110000351994","RCRAINFO","SCD055830095","SQG","326211","PRIMARY","TIRE MANUFACTURING (EXCEPT RETREADING)."
"110000351994","TRIS","29072MCHLN2420T","TRI REPORTER","326211","PRIMARY","TIRE MANUFACTURING (EXCEPT RETREADING)."
"110000351994","OSHA-OIS","317893485","OSHA ESTABLISHMENT","326211","PRIMARY","TIRE MANUFACTURING (EXCEPT RETREADING)."
"110000351994","OSHA-OIS","316619873","OSHA ESTABLISHMENT","326211","PRIMARY","TIRE MANUFACTURING (EXCEPT RETREADING)."
"110000351994","AIR","SC00015600042","AIR MAJOR","326211","PRIMARY","TIRE MANUFACTURING (EXCEPT RETREADING)."
"110000351994","E-GGRT","1005443","GREENHOUSE GAS REPORTER","326211","PRIMARY","TIRE MANUFACTURING (EXCEPT RETREADING)."
"110000351994","ICIS","3600053062","ENFORCEMENT/COMPLIANCE ACTIVITY","326211","PRIMARY","TIRE MANUFACTURING (EXCEPT RETREADING)."
"110000351994","EIS","4041511","HAZARDOUS AND CRITERIA AIR POLLUTANT MAJOR","326211","PRIMARY","TIRE MANUFACTURING (EXCEPT RETREADING)."
"110000351994","AIRS/AFS","4506300042","AIR MAJOR","326211","PRIMARY","TIRE MANUFACTURING (EXCEPT RETREADING)."
"110000352001","RMP","100000128916","RMP REPORTER","325188","UNKNOWN","ALL OTHER BASIC INORGANIC CHEMICAL MANUFACTURING."
"110000352001","TRIS","29072TNPRD1000B","TRI REPORTER","325188","PRIMARY","ALL OTHER BASIC INORGANIC CHEMICAL MANUFACTURING."
"110000352001","RCRAINFO","SCR000002436","UNSPECIFIED UNIVERSE","11111","PRIMARY","SOYBEAN FARMING"
"110000352010","EIS","3795011","AIR EMISSIONS CLASSIFICATION UNKNOWN","5614","PRIMARY","BUSINESS SUPPORT SERVICES"
"110000352010","TRIS","29073SFTYK130AF","TRI REPORTER","562920","PRIMARY","MATERIALS RECOVERY FACILITIES."
"110000352010","EIS","3794911","AIR MINOR","562920","PRIMARY","MATERIALS RECOVERY FACILITIES."
"110000352010","RCRAINFO","SCD077995488","LQG","562112","PRIMARY","HAZARDOUS WASTE COLLECTION."
"110000352010","AIR","SC00015600039","AIR MINOR","562920","PRIMARY","MATERIALS RECOVERY FACILITIES."
"110000352010","RCRAINFO","SCD077995488","TSD","562112","PRIMARY","HAZARDOUS WASTE COLLECTION."
"110000352010","RCRAINFO","SCD077995488","TRANSFER FACILITY","562112","PRIMARY","HAZARDOUS WASTE COLLECTION."
"110000352010","RCRAINFO","SCD077995488","TRANSPORTER","562112","PRIMARY","HAZARDOUS WASTE COLLECTION."
"110000352029","EIS","6518911","HAZARDOUS AIR POLLUTANT MAJOR","336212","PRIMARY","TRUCK TRAILER MANUFACTURING."
"110000352029","RCRAINFO","SCD982092884","VSQG","333120","PRIMARY","CONSTRUCTION MACHINERY MANUFACTURING."
"110000352029","TRIS","29078SPCRS1235C","TRI REPORTER","333120","PRIMARY","CONSTRUCTION MACHINERY MANUFACTURING."
"110000352038","TRIS","29108LKWDTRT2BO","TRI REPORTER","321114","PRIMARY","WOOD PRESERVATION."
"110000352074","AIRS/AFS","4507500053","AIR MINOR","321114","PRIMARY","WOOD PRESERVATION."
"110000352074","TRIS","29115CXWDPCANNO","TRI REPORTER","321114","PRIMARY","WOOD PRESERVATION."
"110000352074","AIR","SC00018600053","AIR MINOR","321114","PRIMARY","WOOD PRESERVATION."
"110000352074","RCRAINFO","SCD003347150","SQG","321114","PRIMARY","WOOD PRESERVATION."
"110000352074","RCRAINFO","SCD003347150","TSD","321114","PRIMARY","WOOD PRESERVATION."
"110000352083","TRIS","29115DCLMNFIVEC","TRI REPORTER","321999","PRIMARY","ALL OTHER MISCELLANEOUS WOOD PRODUCT MANUFACTURING."
"110000352083","EIS","5720611","HAZARDOUS AIR POLLUTANT MAJOR","321211","PRIMARY","HARDWOOD VENEER AND PLYWOOD MANUFACTURING."
"110000352083","SC-EFIS","SC0000000737","STATE MASTER","337211","UNKNOWN","WOOD OFFICE FURNITURE MANUFACTURING."
"110000352083","AIRS/AFS","4507500003","AIR MAJOR","321211","PRIMARY","HARDWOOD VENEER AND PLYWOOD MANUFACTURING."
"110000352083","AIR","SC00018600003","AIR MAJOR","321211","PRIMARY","HARDWOOD VENEER AND PLYWOOD MANUFACTURING."
"110000352083","SC-EFIS","SC0000000737","STATE MASTER","339999","UNKNOWN","ALL OTHER MISCELLANEOUS MANUFACTURING."
"110000352083","RCRAINFO","SCD982162992","UNSPECIFIED UNIVERSE","337211","SECONDARY","WOOD OFFICE FURNITURE MANUFACTURING."
"110000352083","SC-EFIS","SC0000000737","STATE MASTER","337122","UNKNOWN","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING."
"110000352083","RCRAINFO","SCD982162992","UNSPECIFIED UNIVERSE","321219","SECONDARY","RECONSTITUTED WOOD PRODUCT MANUFACTURING."
"110000352083","RCRAINFO","SCD003342177","UNSPECIFIED UNIVERSE","321211","PRIMARY","HARDWOOD VENEER AND PLYWOOD MANUFACTURING."
"110000352083","RCRAINFO","SCD982162992","UNSPECIFIED UNIVERSE","321213","PRIMARY","ENGINEERED WOOD MEMBER (EXCEPT TRUSS) MANUFACTURING."
"110000352092","TRIS","29115DNPRD451PR","TRI REPORTER","311111","PRIMARY","DOG AND CAT FOOD MANUFACTURING."
"110000352092","EIS","3408811","AIR SYNTHETIC MINOR","311111","PRIMARY","DOG AND CAT FOOD MANUFACTURING."
"110000352092","RCRAINFO","SCR000000851","VSQG","11111","PRIMARY","SOYBEAN FARMING"
"110000352092","AIR","SC00018600090","AIR SYNTHETIC MINOR","311111","PRIMARY","DOG AND CAT FOOD MANUFACTURING."
"110000352092","AIRS/AFS","4507500090","AIR SYNTHETIC MINOR","311111","PRIMARY","DOG AND CAT FOOD MANUFACTURING."
"110000352109","ICIS","6386505","FORMAL ENFORCEMENT ACTION","325188","SECONDARY","ALL OTHER BASIC INORGANIC CHEMICAL MANUFACTURING."
"110000352109","ICIS","6386505","ENFORCEMENT/COMPLIANCE ACTIVITY","325998","SECONDARY","ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING."
"110000352109","RCRAINFO","SCD987582913","SQG","325998","PRIMARY","ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING."
"110000352109","ICIS","6386505","ENFORCEMENT/COMPLIANCE ACTIVITY","325188","SECONDARY","ALL OTHER BASIC INORGANIC CHEMICAL MANUFACTURING."
"110000352109","RMP","100000038764","RMP REPORTER","32518","UNKNOWN","OTHER BASIC INORGANIC CHEMICAL MANUFACTURING"
"110000352109","AIRS/AFS","4507500080","AIR SYNTHETIC MINOR","211112","PRIMARY","NATURAL GAS LIQUID EXTRACTION."
"110000352109","OSHA-OIS","317496073","OSHA ESTABLISHMENT","325188","PRIMARY","ALL OTHER BASIC INORGANIC CHEMICAL MANUFACTURING."
"110000352109","RCRAINFO","SCD987582913","SQG","32518","SECONDARY","OTHER BASIC INORGANIC CHEMICAL MANUFACTURING"
"110000352109","RMP","100000038764","RMP REPORTER","325188","UNKNOWN","ALL OTHER BASIC INORGANIC CHEMICAL MANUFACTURING."
"110000352109","ICIS","6386505","FORMAL ENFORCEMENT ACTION","325998","SECONDARY","ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING."
"110000352118","AIR","SC00018600082","AIR SYNTHETIC MINOR","313320","PRIMARY","FABRIC COATING MILLS."
"110000352118","TRIS","29115KNTCX1063R","TRI REPORTER","335929","PRIMARY","OTHER COMMUNICATION AND ENERGY WIRE MANUFACTURING."
"110000352118","RCRAINFO","SCD987595113","SQG","326299","SECONDARY","ALL OTHER RUBBER PRODUCT MANUFACTURING."
"110000352118","SC-EFIS","SC0000001381","STATE MASTER","335929","UNKNOWN","OTHER COMMUNICATION AND ENERGY WIRE MANUFACTURING."
"110000352118","EIS","3980211","AIR SYNTHETIC MINOR","313320","PRIMARY","FABRIC COATING MILLS."
"110000352118","RCRAINFO","SCD987595113","SQG","331222","SECONDARY","STEEL WIRE DRAWING."
"110000352118","AIRS/AFS","4507500082","AIR MAJOR","313320","PRIMARY","FABRIC COATING MILLS."
"110000352118","AIR","SC00018600082","AIR SYNTHETIC MINOR","335929","PRIMARY","OTHER COMMUNICATION AND ENERGY WIRE MANUFACTURING."
"110000352127","AIRS/AFS","4507500089","AIR MINOR","325314","PRIMARY","FERTILIZER (MIXING ONLY) MANUFACTURING."
"110000352127","TRIS","29115MCGRB3823R","TRI REPORTER","325314","PRIMARY","FERTILIZER (MIXING ONLY) MANUFACTURING."
"110000352127","RMP","100000115911","RMP REPORTER","325314","UNKNOWN","FERTILIZER (MIXING ONLY) MANUFACTURING."
"110000352127","AIRS/AFS","4507500097","AIR MINOR","325314","PRIMARY","FERTILIZER (MIXING ONLY) MANUFACTURING."
"110000352145","TRIS","29123CMRPR7757E","TRI REPORTER","326191","PRIMARY","PLASTICS PLUMBING FIXTURE MANUFACTURING."
"110000352145","AIR","SC00015600161","AIR SYNTHETIC MINOR","339999","PRIMARY","ALL OTHER MISCELLANEOUS MANUFACTURING."
"110000352145","AIRS/AFS","4506300161","AIR SYNTHETIC MINOR","339999","PRIMARY","ALL OTHER MISCELLANEOUS MANUFACTURING."
"110000352145","EIS","3795111","AIR SYNTHETIC MINOR","326191","PRIMARY","PLASTICS PLUMBING FIXTURE MANUFACTURING."
"110000352154","RCRAINFO","SCD000813626","UNSPECIFIED UNIVERSE","321212","PRIMARY","SOFTWOOD VENEER AND PLYWOOD MANUFACTURING."
"110000352154","TRIS","29127GRGPCHIGHW","TRI REPORTER","321212","PRIMARY","SOFTWOOD VENEER AND PLYWOOD MANUFACTURING."
"110000352154","AIR","SC00017800011","AIR MAJOR","321113","PRIMARY","SAWMILLS."
"110000352154","AIRS/AFS","4507100008","AIR MAJOR","321212","PRIMARY","SOFTWOOD VENEER AND PLYWOOD MANUFACTURING."
"110000352154","TRIS","29127GRGPCHIGHW","TRI REPORTER","321113","UNKNOWN","SAWMILLS."
"110000352154","EIS","6194411","HAZARDOUS AND CRITERIA AIR POLLUTANT MAJOR","321212","PRIMARY","SOFTWOOD VENEER AND PLYWOOD MANUFACTURING."
"110000352154","AIR","SC00017800008","AIR MAJOR","321212","PRIMARY","SOFTWOOD VENEER AND PLYWOOD MANUFACTURING."
"110000352154","AIRS/AFS","4507100011","AIR MAJOR","321113","PRIMARY","SAWMILLS."
"110000352154","EIS","6194711","HAZARDOUS AND CRITERIA AIR POLLUTANT MAJOR","321113","PRIMARY","SAWMILLS."
"110000352163","RCRAINFO","SCD980603658","SQG","336370","SECONDARY","MOTOR VEHICLE METAL STAMPING."
"110000352163","TRIS","29127NNDSTHWY76","TRI REPORTER","336370","PRIMARY","MOTOR VEHICLE METAL STAMPING."
"110000352163","AIR","SC00017800018","AIR SYNTHETIC MINOR","336399","PRIMARY","ALL OTHER MOTOR VEHICLE PARTS MANUFACTURING."
"110000352163","EIS","3796611","AIR MINOR","336370","PRIMARY","MOTOR VEHICLE METAL STAMPING."
"110000352163","RCRAINFO","SCD980603658","SQG","33637","PRIMARY","MOTOR VEHICLE METAL STAMPING"
"110000352172","TRIS","29130KNNCT227SU","TRI REPORTER","212221","PRIMARY","GOLD ORE MINING."
"110000352172","RCRAINFO","SCD174281543","VSQG","11111","PRIMARY","SOYBEAN FARMING"
"110000352181","OSHA-OIS","317011369","OSHA ESTABLISHMENT","326199","PRIMARY","ALL OTHER PLASTICS PRODUCT MANUFACTURING."
"110000352181","EIS","5047811","AIR SYNTHETIC MINOR","334419","PRIMARY","OTHER ELECTRONIC COMPONENT MANUFACTURING."
"110000352181","RCRAINFO","SCR000003798","LQG","334419","PRIMARY","OTHER ELECTRONIC COMPONENT MANUFACTURING."
"110000352181","OSHA-OIS","317011633","OSHA ESTABLISHMENT","326199","PRIMARY","ALL OTHER PLASTICS PRODUCT MANUFACTURING."
"110000352181","AIR","SC00010000022","AIR SYNTHETIC MINOR","334419","PRIMARY","OTHER ELECTRONIC COMPONENT MANUFACTURING."
"110000352181","TRIS","29130SLSXX100TI","TRI REPORTER","334419","PRIMARY","OTHER ELECTRONIC COMPONENT MANUFACTURING."
"110000352181","AIRS/AFS","4503900022","AIR SYNTHETIC MINOR","334419","PRIMARY","OTHER ELECTRONIC COMPONENT MANUFACTURING."
"110000352207","RCRAINFO","SCD070371885","TSD","32518","PRIMARY","OTHER BASIC INORGANIC CHEMICAL MANUFACTURING"
"110000352207","AIRS/AFS","4508500042","AIR SYNTHETIC MINOR","211112","PRIMARY","NATURAL GAS LIQUID EXTRACTION."
"110000352207","TRIS","29150CPCHMHWY15","TRI REPORTER","321114","SECONDARY","WOOD PRESERVATION."
"110000352207","TRIS","29150CPCHMHWY15","TRI REPORTER","325320","SECONDARY","PESTICIDE AND OTHER AGRICULTURAL CHEMICAL MANUFACTURING."
"110000352207","RCRAINFO","SCD070371885","TSD","32532","SECONDARY","PESTICIDE AND OTHER AGRICULTURAL CHEMICAL MANUFACTURING"
"110000352207","RMP","100000043534","RMP REPORTER","32599","UNKNOWN","ALL OTHER CHEMICAL PRODUCT AND PREPARATION MANUFACTURING"
"110000352207","RCRAINFO","SCD070371885","SQG","32532","SECONDARY","PESTICIDE AND OTHER AGRICULTURAL CHEMICAL MANUFACTURING"
"110000352207","EIS","4962211","AIR SYNTHETIC MINOR","32518","PRIMARY","OTHER BASIC INORGANIC CHEMICAL MANUFACTURING"
"110000352207","TRIS","29150CPCHMHWY15","TRI REPORTER","325188","SECONDARY","ALL OTHER BASIC INORGANIC CHEMICAL MANUFACTURING."
"110000352207","RCRAINFO","SCD070371885","SQG","32518","PRIMARY","OTHER BASIC INORGANIC CHEMICAL MANUFACTURING"
"110000352216","TRIS","29150CRLNC712EL","TRI REPORTER","311411","PRIMARY","FROZEN FRUIT, JUICE, AND VEGETABLE MANUFACTURING."
"110000352243","RCRAINFO","SCD098400773","VSQG","335314","PRIMARY","RELAY AND INDUSTRIAL CONTROL MANUFACTURING."
"110000352243","TRIS","29150WSTNG11COR","TRI REPORTER","335313","PRIMARY","SWITCHGEAR AND SWITCHBOARD APPARATUS MANUFACTURING."
"110000352252","AIRS/AFS","4508500018","AIR SYNTHETIC MINOR","339112","PRIMARY","SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING."
"110000352252","RCRAINFO","SCD050196096","SQG","339112","PRIMARY","SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING."
"110000352252","RCRAINFO","SCD050196096","SQG","325411","PRIMARY","MEDICINAL AND BOTANICAL MANUFACTURING."
"110000352252","EIS","6565211","AIR SYNTHETIC MINOR","339112","PRIMARY","SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING."
"110000352252","TRIS","29151BCTNDAIRPO","TRI REPORTER","339112","PRIMARY","SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING."
"110000352252","AIR","SC00021400018","AIR SYNTHETIC MINOR","339112","PRIMARY","SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING."
"110000352252","RCRAINFO","SCD050196096","SQG","326299","SECONDARY","ALL OTHER RUBBER PRODUCT MANUFACTURING."
"110000352261","ICIS","3600053308","FORMAL ENFORCEMENT ACTION","337122","PRIMARY","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING."
"110000352261","AIRS/AFS","4508500014","AIR MAJOR","337122","PRIMARY","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING."
"110000352261","AIR","SC00021400014","AIR - NOT APPLICABLE","337122","PRIMARY","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING."
"110000352261","EIS","4762711","AIR SYNTHETIC MINOR","337122","PRIMARY","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING."
"110000352261","ICIS","3600053308","ENFORCEMENT/COMPLIANCE ACTIVITY","337122","PRIMARY","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING."
"110000352261","OSHA-OIS","316621655","OSHA ESTABLISHMENT","337122","PRIMARY","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING."
"110000352261","TRIS","29151CRLNF406BR","TRI REPORTER","337122","PRIMARY","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING."
"110000352270","EIS","5047111","HAZARDOUS AIR POLLUTANT MAJOR","337122","PRIMARY","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING."
"110000352270","TRIS","29151KRNNDPOSTO","TRI REPORTER","337122","PRIMARY","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING."
"110000352289","RCRAINFO","SCD991279456","SQG","333999","PRIMARY","ALL OTHER MISCELLANEOUS GENERAL PURPOSE MACHINERY MANUFACTURING."
"110000352289","AIR","SC00021400106","AIR MINOR","332991","PRIMARY","BALL AND ROLLER BEARING MANUFACTURING."
"110000352289","EIS","6579111","AIR MINOR","332991","PRIMARY","BALL AND ROLLER BEARING MANUFACTURING."
"110000352289","AIRS/AFS","4508500106","AIR MINOR","332991","PRIMARY","BALL AND ROLLER BEARING MANUFACTURING."
"110000352289","RCRAINFO","SCR000772111","SQG","332991","PRIMARY","BALL AND ROLLER BEARING MANUFACTURING."
