"REGISTRY_ID","PGM_SYS_ACRNM","PGM_SYS_ID","INTEREST_TYPE","SIC_CODE","PRIMARY_INDICATOR","CODE_DESCRIPTION"
"110000351887","NPDES","SCR002429","ICIS-NPDES NON-MAJOR","3312","PRIMARY","STEEL WORKS, BLAST FURNACES (INCLUDING COKE OVENS), AND ROLLING MILLS"
"110000351912","SC-EFIS","SC0000002824","STATE MASTER","3313","UNKNOWN","ELECTROMETALLURGICAL PRODUCTS, EXCEPT STEEL"
"110000351912","SC-EFIS","SC0000002824","STATE MASTER","3441","UNKNOWN","FABRICATED STRUCTURAL METAL"
"110000351912","AIRS/AFS","4507900150","AIR MAJOR","3441","PRIMARY","FABRICATED STRUCTURAL METAL"
"110000351930","ICIS","600035941","FORMAL ENFORCEMENT ACTION","2869","PRIMARY","INDUSTRIAL ORGANIC CHEMICALS, NOT ELSEWHERE CLASSIFIED"
"110000351930","ICIS","600035941","ENFORCEMENT/COMPLIANCE ACTIVITY","2869","PRIMARY","INDUSTRIAL ORGANIC CHEMICALS, NOT ELSEWHERE CLASSIFIED"
"110000351930","AIRS/AFS","4505500017","AIR MAJOR","2869","PRIMARY","INDUSTRIAL ORGANIC CHEMICALS, NOT ELSEWHERE CLASSIFIED"
"110000351930","AIRS/AFS","4505500063","AIR SYNTHETIC MINOR","4911","PRIMARY","ELECTRIC SERVICES"
"110000351930","OSHA-OIS","316617646","OSHA ESTABLISHMENT","2833","PRIMARY","MEDICINAL CHEMICALS AND BOTANICAL PRODUCTS"
"110000351930","ICIS","11533","FORMAL ENFORCEMENT ACTION","2879","PRIMARY","PESTICIDES AND AGRICULTURAL CHEMICALS, NOT ELSEWHERE CLASSIFIED"
"110000351930","ICIS","1800004008","FORMAL ENFORCEMENT ACTION","2869","PRIMARY","INDUSTRIAL ORGANIC CHEMICALS, NOT ELSEWHERE CLASSIFIED"
"110000351930","SC-EFIS","SC0000052889","STATE MASTER","2869","UNKNOWN","INDUSTRIAL ORGANIC CHEMICALS, NOT ELSEWHERE CLASSIFIED"
"110000351930","SSTS","033973SC001","PESTICIDE PRODUCER","2869","UNKNOWN","INDUSTRIAL ORGANIC CHEMICALS, NOT ELSEWHERE CLASSIFIED"
"110000351930","SC-EFIS","SC0000218970","STATE MASTER","4911","UNKNOWN","ELECTRIC SERVICES"
"110000351930","ICIS","1800004008","ENFORCEMENT/COMPLIANCE ACTIVITY","2869","PRIMARY","INDUSTRIAL ORGANIC CHEMICALS, NOT ELSEWHERE CLASSIFIED"
"110000351930","ICIS","11533","ENFORCEMENT/COMPLIANCE ACTIVITY","2879","PRIMARY","PESTICIDES AND AGRICULTURAL CHEMICALS, NOT ELSEWHERE CLASSIFIED"
"110000351930","SSTS","033973SC001","PESTICIDE PRODUCER","5261","UNKNOWN","RETAIL NURSERIES, LAWN AND GARDEN SUPPLY STORES"
"110000351930","SSTS","033973SC001","PESTICIDE PRODUCER","5541","UNKNOWN","GASOLINE SERVICE STATIONS"
"110000351930","NPDES","SC0002682","ICIS-NPDES MAJOR","2869","PRIMARY","INDUSTRIAL ORGANIC CHEMICALS, NOT ELSEWHERE CLASSIFIED"
"110000351949","SC-EFIS","SC0000003631","STATE MASTER","2421","UNKNOWN","SAWMILLS AND PLANING MILLS, GENERAL"
"110000351949","SC-EFIS","SC0000003631","STATE MASTER","2493","UNKNOWN","RECONSTITUTED WOOD PRODUCTS"
"110000351949","SC-EFIS","SC0000003631","STATE MASTER","2435","UNKNOWN","HARDWOOD VENEER AND PLYWOOD"
"110000351949","NPDES","SC0001147","ICIS-NPDES NON-MAJOR","2493","PRIMARY","RECONSTITUTED WOOD PRODUCTS"
"110000351949","AIRS/AFS","4507500038","AIR MAJOR","2493","PRIMARY","RECONSTITUTED WOOD PRODUCTS"
"110000351949","ICIS","35088","FORMAL ENFORCEMENT ACTION","2611","PRIMARY","PULP MILLS"
"110000351958","AIRS/AFS","4505700015","AIR MAJOR","2075","PRIMARY","SOYBEAN OIL MILLS"
"110000351958","NPDES","SCR001459","ICIS-NPDES NON-MAJOR","2075","PRIMARY","SOYBEAN OIL MILLS"
"110000351958","NPDES","SCR001459","STORM WATER INDUSTRIAL","2075","PRIMARY","SOYBEAN OIL MILLS"
"110000351967","SC-EFIS","SC0000228120","STATE MASTER","2221","UNKNOWN","BROADWOVEN FABRIC MILLS, MANMADE FIBER AND SILK"
"110000351967","AIRS/AFS","4506300095","AIR SYNTHETIC MINOR","2211","PRIMARY","BROADWOVEN FABRIC MILLS, COTTON"
"110000351967","SC-EFIS","SC0000001115","STATE MASTER","2221","UNKNOWN","BROADWOVEN FABRIC MILLS, MANMADE FIBER AND SILK"
"110000351967","SC-EFIS","SC0000228120","STATE MASTER","2211","UNKNOWN","BROADWOVEN FABRIC MILLS, COTTON"
"110000351967","AIRS/AFS","4506300095","AIR SYNTHETIC MINOR","2221","SECONDARY","BROADWOVEN FABRIC MILLS, MANMADE FIBER AND SILK"
"110000351967","NPDES","SCR000392","STORM WATER INDUSTRIAL","2211","PRIMARY","BROADWOVEN FABRIC MILLS, COTTON"
"110000351967","TRIS","29070JBMRTEASTA","TRI REPORTER","2211","PRIMARY","BROADWOVEN FABRIC MILLS, COTTON"
"110000351967","TRIS","29070JBMRTEASTA","TRI REPORTER","2221","SECONDARY","BROADWOVEN FABRIC MILLS, MANMADE FIBER AND SILK"
"110000351967","NPDES","SCR000392","ICIS-NPDES NON-MAJOR","2211","PRIMARY","BROADWOVEN FABRIC MILLS, COTTON"
"110000351976","AIRS/AFS","4506300052","AIR MINOR","3546","PRIMARY","POWER-DRIVEN HANDTOOLS"
"110000351976","SC-EFIS","SC0000049765","STATE MASTER","3546","UNKNOWN","POWER-DRIVEN HANDTOOLS"
"110000351976","SC-EFIS","SC0000049765","STATE MASTER","3536","UNKNOWN","OVERHEAD TRAVELING CRANES, HOISTS, AND MONORAIL SYSTEMS"
"110000351985","TRIS","29072CRLNSI20SC","TRI REPORTER","3315","PRIMARY","STEEL WIREDRAWING AND STEEL NAILS AND SPIKES"
"110000351994","OSHA-OIS","316619873","OSHA ESTABLISHMENT","3011","PRIMARY","TIRES AND INNER TUBES"
"110000351994","ICIS","3600053062","ENFORCEMENT/COMPLIANCE ACTIVITY","3011","PRIMARY","TIRES AND INNER TUBES"
"110000351994","OSHA-OIS","317893485","OSHA ESTABLISHMENT","3011","PRIMARY","TIRES AND INNER TUBES"
"110000351994","NPDES","SCR001738","STORM WATER INDUSTRIAL","3011","PRIMARY","TIRES AND INNER TUBES"
"110000351994","RBLC","25301","AIR MAJOR","3011","UNKNOWN","TIRES AND INNER TUBES"
"110000351994","NPDES","SCR001738","ICIS-NPDES NON-MAJOR","3011","PRIMARY","TIRES AND INNER TUBES"
"110000351994","SC-EFIS","SC0000002389","STATE MASTER","3011","UNKNOWN","TIRES AND INNER TUBES"
"110000351994","AIRS/AFS","4506300042","AIR MAJOR","3011","PRIMARY","TIRES AND INNER TUBES"
"110000351994","RBLC","25302","AIR MAJOR","3011","UNKNOWN","TIRES AND INNER TUBES"
"110000351994","RBLC","24898","AIR MAJOR","3011","UNKNOWN","TIRES AND INNER TUBES"
"110000351994","SC-EFIS","SC0000002389","STATE MASTER","7534","UNKNOWN","TIRE RETREADING AND REPAIR SHOPS"
"110000351994","SC-EFIS","SC0000002389","STATE MASTER","3315","UNKNOWN","STEEL WIREDRAWING AND STEEL NAILS AND SPIKES"
"110000351994","RBLC","3085","AIR MAJOR","3011","UNKNOWN","TIRES AND INNER TUBES"
"110000352001","NPDES","SCR001336","STORM WATER INDUSTRIAL","2819","PRIMARY","INDUSTRIAL INORGANIC CHEMICALS, NOT ELSEWHERE CLASSIFIED"
"110000352001","NPDES","SCR001336","ICIS-NPDES NON-MAJOR","2819","PRIMARY","INDUSTRIAL INORGANIC CHEMICALS, NOT ELSEWHERE CLASSIFIED"
"110000352001","TRIS","29072TNPRD1000B","TRI REPORTER","2819","PRIMARY","INDUSTRIAL INORGANIC CHEMICALS, NOT ELSEWHERE CLASSIFIED"
"110000352001","TRIS","29072TNPRD1000B","TRI REPORTER","2869","SECONDARY","INDUSTRIAL ORGANIC CHEMICALS, NOT ELSEWHERE CLASSIFIED"
"110000352010","SC-EFIS","SC0000001569","STATE MASTER","4953","UNKNOWN","REFUSE SYSTEMS"
"110000352010","ICIS","5132","FORMAL ENFORCEMENT ACTION","4953","PRIMARY","REFUSE SYSTEMS"
"110000352010","AIRS/AFS","4506300039","AIR MINOR","4953","PRIMARY","REFUSE SYSTEMS"
"110000352029","NPDES","SCR001454","ICIS-NPDES NON-MAJOR","3714","PRIMARY","MOTOR VEHICLE PARTS AND ACCESSORIES"
"110000352029","NPDES","SCR001454","STORM WATER INDUSTRIAL","3714","PRIMARY","MOTOR VEHICLE PARTS AND ACCESSORIES"
"110000352029","ICIS","4568","FORMAL ENFORCEMENT ACTION","3714","PRIMARY","MOTOR VEHICLE PARTS AND ACCESSORIES"
"110000352038","TRIS","29108LKWDTRT2BO","TRI REPORTER","2491","PRIMARY","WOOD PRESERVING"
"110000352074","NPDES","SCR001087","STORM WATER INDUSTRIAL","2491","PRIMARY","WOOD PRESERVING"
"110000352074","NPDES","SCR006023","ICIS-NPDES NON-MAJOR","2491","PRIMARY","WOOD PRESERVING"
"110000352074","NPDES","SCR001087","ICIS-NPDES NON-MAJOR","2491","PRIMARY","WOOD PRESERVING"
"110000352074","AIRS/AFS","4507500053","AIR MINOR","2491","PRIMARY","WOOD PRESERVING"
"110000352074","SC-EFIS","SC0000000697","STATE MASTER","2491","UNKNOWN","WOOD PRESERVING"
"110000352083","AIRS/AFS","4507500003","AIR MAJOR","2435","PRIMARY","HARDWOOD VENEER AND PLYWOOD"
"110000352083","SC-EFIS","SC0000000737","STATE MASTER","2511","UNKNOWN","WOOD HOUSEHOLD FURNITURE, EXCEPT UPHOLSTERED"
"110000352083","SC-EFIS","SC0000000737","STATE MASTER","2499","UNKNOWN","WOOD PRODUCTS, NOT ELSEWHERE CLASSIFIED"
"110000352083","SC-EFIS","SC0000000737","STATE MASTER","2521","UNKNOWN","WOOD OFFICE FURNITURE"
"110000352083","NPDES","SCR00A032","STORM WATER INDUSTRIAL","2439","PRIMARY","STRUCTURAL WOOD MEMBERS, NOT ELSEWHERE CLASSIFIED"
"110000352083","NPDES","SCR00A032","ICIS-NPDES NON-MAJOR","2439","PRIMARY","STRUCTURAL WOOD MEMBERS, NOT ELSEWHERE CLASSIFIED"
"110000352092","NPDES","SCR001354","ICIS-NPDES NON-MAJOR","2047","PRIMARY","DOG AND CAT FOOD"
"110000352092","NPDES","SCR001354","STORM WATER INDUSTRIAL","2047","PRIMARY","DOG AND CAT FOOD"
"110000352092","SC-EFIS","SC0000000767","STATE MASTER","2047","UNKNOWN","DOG AND CAT FOOD"
"110000352092","AIRS/AFS","4507500090","AIR SYNTHETIC MINOR","2047","PRIMARY","DOG AND CAT FOOD"
"110000352109","SC-EFIS","SC0000000999","STATE MASTER","2819","UNKNOWN","INDUSTRIAL INORGANIC CHEMICALS, NOT ELSEWHERE CLASSIFIED"
"110000352109","NPDES","SCR000133","STORM WATER INDUSTRIAL","2819","PRIMARY","INDUSTRIAL INORGANIC CHEMICALS, NOT ELSEWHERE CLASSIFIED"
"110000352109","AIRS/AFS","4507500080","AIR SYNTHETIC MINOR","2819","PRIMARY","INDUSTRIAL INORGANIC CHEMICALS, NOT ELSEWHERE CLASSIFIED"
"110000352109","NPDES","SCR000133","ICIS-NPDES NON-MAJOR","2819","PRIMARY","INDUSTRIAL INORGANIC CHEMICALS, NOT ELSEWHERE CLASSIFIED"
"110000352109","OSHA-OIS","317496073","OSHA ESTABLISHMENT","2819","PRIMARY","INDUSTRIAL INORGANIC CHEMICALS, NOT ELSEWHERE CLASSIFIED"
"110000352118","SC-EFIS","SC0000001381","STATE MASTER","3357","UNKNOWN","DRAWING AND INSULATING OF NONFERROUS WIRE"
"110000352118","AIRS/AFS","4507500082","AIR MAJOR","3069","PRIMARY","FABRICATED RUBBER PRODUCTS, NOT ELSEWHERE CLASSIFIED"
"110000352118","AIRS/AFS","4507500082","AIR MAJOR","3357","SECONDARY","DRAWING AND INSULATING OF NONFERROUS WIRE"
"110000352127","AIRS/AFS","4507500089","AIR MINOR","2875","PRIMARY","FERTILIZERS, MIXING ONLY"
"110000352127","SC-EFIS","SC0000001931","STATE MASTER","2875","UNKNOWN","FERTILIZERS, MIXING ONLY"
"110000352127","AIRS/AFS","4507500097","AIR MINOR","8999","PRIMARY","SERVICES, NOT ELSEWHERE CLASSIFIED"
"110000352127","AIRS/AFS","4507500097","AIR MINOR","2874","SECONDARY","PHOSPHATIC FERTILIZERS"
"110000352127","AIRS/AFS","4507500089","AIR MINOR","2874","SECONDARY","PHOSPHATIC FERTILIZERS"
"110000352127","TRIS","29115MCGRB3823R","TRI REPORTER","2875","PRIMARY","FERTILIZERS, MIXING ONLY"
"110000352127","SC-EFIS","SC0000001931","STATE MASTER","2874","UNKNOWN","PHOSPHATIC FERTILIZERS"
"110000352145","AIRS/AFS","4506300161","AIR SYNTHETIC MINOR","3999","PRIMARY","MANUFACTURING INDUSTRIES, NOT ELSEWHERE CLASSIFIED"
"110000352154","NPDES","SCR000108","ICIS-NPDES NON-MAJOR","2421","PRIMARY","SAWMILLS AND PLANING MILLS, GENERAL"
"110000352154","AIRS/AFS","4507100008","AIR MAJOR","2436","PRIMARY","SOFTWOOD VENEER AND PLYWOOD"
"110000352154","AIRS/AFS","4507100011","AIR MAJOR","2421","PRIMARY","SAWMILLS AND PLANING MILLS, GENERAL"
"110000352154","NPDES","SCR000108","STORM WATER INDUSTRIAL","2421","PRIMARY","SAWMILLS AND PLANING MILLS, GENERAL"
"110000352154","NPDES","SCR000109","STORM WATER INDUSTRIAL","2436","PRIMARY","SOFTWOOD VENEER AND PLYWOOD"
"110000352154","NPDES","SCR000109","ICIS-NPDES NON-MAJOR","2436","PRIMARY","SOFTWOOD VENEER AND PLYWOOD"
"110000352163","AIRS/AFS","4507100018","AIR MINOR","3714","PRIMARY","MOTOR VEHICLE PARTS AND ACCESSORIES"
"110000352163","SC-EFIS","SC0000001832","STATE MASTER","3714","UNKNOWN","MOTOR VEHICLE PARTS AND ACCESSORIES"
"110000352172","TRIS","29130KNNCT227SU","TRI REPORTER","1041","PRIMARY","GOLD ORES"
"110000352172","NPDES","SC0041378","ICIS-NPDES NON-MAJOR","1041","PRIMARY","GOLD ORES"
"110000352181","SC-EFIS","SC0000010397","STATE MASTER","3679","UNKNOWN","ELECTRONIC COMPONENTS, NOT ELSEWHERE CLASSIFIED"
"110000352181","OSHA-OIS","317011633","OSHA ESTABLISHMENT","3089","PRIMARY","PLASTICS PRODUCTS, NOT ELSEWHERE CLASSIFIED"
"110000352181","ICIS","600031568","ENFORCEMENT/COMPLIANCE ACTIVITY","3679","PRIMARY","ELECTRONIC COMPONENTS, NOT ELSEWHERE CLASSIFIED"
"110000352181","SC-EFIS","SC0000010397","STATE MASTER","3672","UNKNOWN","PRINTED CIRCUIT BOARDS"
"110000352181","AIRS/AFS","4503900022","AIR SYNTHETIC MINOR","3679","PRIMARY","ELECTRONIC COMPONENTS, NOT ELSEWHERE CLASSIFIED"
"110000352181","OSHA-OIS","317011369","OSHA ESTABLISHMENT","3089","PRIMARY","PLASTICS PRODUCTS, NOT ELSEWHERE CLASSIFIED"
"110000352181","ICIS","600031568","FORMAL ENFORCEMENT ACTION","3679","PRIMARY","ELECTRONIC COMPONENTS, NOT ELSEWHERE CLASSIFIED"
"110000352207","SSTS","035896SC001","PESTICIDE PRODUCER","5211","UNKNOWN","LUMBER AND OTHER BUILDING MATERIALS DEALERS"
"110000352207","SSTS","035896SC001","PESTICIDE PRODUCER","2819","UNKNOWN","INDUSTRIAL INORGANIC CHEMICALS, NOT ELSEWHERE CLASSIFIED"
"110000352207","NPDES","SC0034860","ICIS-NPDES NON-MAJOR","2819","PRIMARY","INDUSTRIAL INORGANIC CHEMICALS, NOT ELSEWHERE CLASSIFIED"
"110000352207","SC-EFIS","SC0000013267","STATE MASTER","2899","UNKNOWN","CHEMICALS AND CHEMICAL PREPARATIONS, NOT ELSEWHERE CLASSIFIED"
"110000352207","SC-EFIS","SC0000013267","STATE MASTER","2819","UNKNOWN","INDUSTRIAL INORGANIC CHEMICALS, NOT ELSEWHERE CLASSIFIED"
"110000352207","AIRS/AFS","4508500042","AIR SYNTHETIC MINOR","2819","PRIMARY","INDUSTRIAL INORGANIC CHEMICALS, NOT ELSEWHERE CLASSIFIED"
"110000352243","NPDES","SCR003554","STORM WATER INDUSTRIAL","3677","PRIMARY","ELECTRONIC COILS, TRANSFORMERS, AND OTHER INDUCTORS"
"110000352243","NPDES","SCR003554","ICIS-NPDES NON-MAJOR","3677","PRIMARY","ELECTRONIC COILS, TRANSFORMERS, AND OTHER INDUCTORS"
"110000352243","AIRS/AFS","4508500052","AIR MINOR","3677","PRIMARY","ELECTRONIC COILS, TRANSFORMERS, AND OTHER INDUCTORS"
"110000352252","SC-EFIS","SC0000000437","STATE MASTER","3841","UNKNOWN","SURGICAL AND MEDICAL INSTRUMENTS AND APPARATUS"
"110000352252","AIRS/AFS","4508500018","AIR SYNTHETIC MINOR","3841","PRIMARY","SURGICAL AND MEDICAL INSTRUMENTS AND APPARATUS"
"110000352261","OSHA-OIS","316621655","OSHA ESTABLISHMENT","2511","PRIMARY","WOOD HOUSEHOLD FURNITURE, EXCEPT UPHOLSTERED"
"110000352261","ICIS","3600053308","ENFORCEMENT/COMPLIANCE ACTIVITY","2511","PRIMARY","WOOD HOUSEHOLD FURNITURE, EXCEPT UPHOLSTERED"
"110000352261","NPDES","SCR002956","STORM WATER INDUSTRIAL","2511","PRIMARY","WOOD HOUSEHOLD FURNITURE, EXCEPT UPHOLSTERED"
"110000352261","NPDES","SCR002956","ICIS-NPDES NON-MAJOR","2511","PRIMARY","WOOD HOUSEHOLD FURNITURE, EXCEPT UPHOLSTERED"
"110000352261","SC-EFIS","SC0000000540","STATE MASTER","2511","UNKNOWN","WOOD HOUSEHOLD FURNITURE, EXCEPT UPHOLSTERED"
"110000352261","ICIS","19741","FORMAL ENFORCEMENT ACTION","2511","PRIMARY","WOOD HOUSEHOLD FURNITURE, EXCEPT UPHOLSTERED"
"110000352261","ICIS","3600053308","FORMAL ENFORCEMENT ACTION","2511","PRIMARY","WOOD HOUSEHOLD FURNITURE, EXCEPT UPHOLSTERED"
"110000352261","AIRS/AFS","4508500014","AIR MAJOR","2511","PRIMARY","WOOD HOUSEHOLD FURNITURE, EXCEPT UPHOLSTERED"
"110000352270","SC-EFIS","SC0000001170","STATE MASTER","2511","UNKNOWN","WOOD HOUSEHOLD FURNITURE, EXCEPT UPHOLSTERED"
"110000352270","TRIS","29151KRNNDPOSTO","TRI REPORTER","2511","PRIMARY","WOOD HOUSEHOLD FURNITURE, EXCEPT UPHOLSTERED"
"110000352270","NPDES","SCR002650","ICIS-NPDES NON-MAJOR","2511","PRIMARY","WOOD HOUSEHOLD FURNITURE, EXCEPT UPHOLSTERED"
"110000352270","NPDES","SCR002650","STORM WATER INDUSTRIAL","2511","PRIMARY","WOOD HOUSEHOLD FURNITURE, EXCEPT UPHOLSTERED"
"110000352270","SC-EFIS","SC0000001171","STATE MASTER","2511","UNKNOWN","WOOD HOUSEHOLD FURNITURE, EXCEPT UPHOLSTERED"
"110000352270","AIRS/AFS","4508500009","AIR MAJOR","2511","PRIMARY","WOOD HOUSEHOLD FURNITURE, EXCEPT UPHOLSTERED"
"110000352289","NPDES","SCR000280","STORM WATER INDUSTRIAL","3499","PRIMARY","FABRICATED METAL PRODUCTS, NOT ELSEWHERE CLASSIFIED"
"110000352289","SC-EFIS","SC0000001098","STATE MASTER","3423","UNKNOWN","HAND AND EDGE TOOLS, EXCEPT MACHINE TOOLS AND HANDSAWS"
"110000352289","NPDES","SCR000280","ICIS-NPDES NON-MAJOR","3499","PRIMARY","FABRICATED METAL PRODUCTS, NOT ELSEWHERE CLASSIFIED"
"110000352289","SC-EFIS","SC0000001140","STATE MASTER","3562","UNKNOWN","BALL AND ROLLER BEARINGS"
"110000352289","NPDES","SCR001316","ICIS-NPDES NON-MAJOR","3562","PRIMARY","BALL AND ROLLER BEARINGS"
"110000352289","NPDES","SCR001316","STORM WATER INDUSTRIAL","3562","PRIMARY","BALL AND ROLLER BEARINGS"
"110000352289","AIRS/AFS","4508500106","AIR MINOR","3562","PRIMARY","BALL AND ROLLER BEARINGS"
"110000352298","TRIS","29151NTRLK1925C","TRI REPORTER","3499","PRIMARY","FABRICATED METAL PRODUCTS, NOT ELSEWHERE CLASSIFIED"
"110000352298","AIRS/AFS","4508500098","AIR MINOR","3499","PRIMARY","FABRICATED METAL PRODUCTS, NOT ELSEWHERE CLASSIFIED"
"110000352305","AIRS/AFS","4508500003","AIR MAJOR","2262","SECONDARY","FINISHERS OF BROADWOVEN FABRICS OF MANMADE FIBER AND SILK"
"110000352305","AIRS/AFS","4508500003","AIR MAJOR","2261","PRIMARY","FINISHERS OF BROADWOVEN FABRICS OF COTTON"
"110000352305","ICIS","9384","FORMAL ENFORCEMENT ACTION","2261","PRIMARY","FINISHERS OF BROADWOVEN FABRICS OF COTTON"
"110000352305","SC-EFIS","SC0000001588","STATE MASTER","2261","UNKNOWN","FINISHERS OF BROADWOVEN FABRICS OF COTTON"
"110000352305","SC-EFIS","SC0000001588","STATE MASTER","2262","UNKNOWN","FINISHERS OF BROADWOVEN FABRICS OF MANMADE FIBER AND SILK"
"110000352323","NPDES","SCR002734","STORM WATER INDUSTRIAL","2511","PRIMARY","WOOD HOUSEHOLD FURNITURE, EXCEPT UPHOLSTERED"
"110000352323","AIRS/AFS","4508500010","AIR MAJOR","2511","PRIMARY","WOOD HOUSEHOLD FURNITURE, EXCEPT UPHOLSTERED"
"110000352323","TRIS","29151VBWLL602FU","TRI REPORTER","2511","PRIMARY","WOOD HOUSEHOLD FURNITURE, EXCEPT UPHOLSTERED"
"110000352323","NPDES","SCR002734","ICIS-NPDES NON-MAJOR","2511","PRIMARY","WOOD HOUSEHOLD FURNITURE, EXCEPT UPHOLSTERED"
"110000352323","SC-EFIS","SC0000001926","STATE MASTER","2511","UNKNOWN","WOOD HOUSEHOLD FURNITURE, EXCEPT UPHOLSTERED"
"110000352332","TRIS","29151XDBTT2315C","TRI REPORTER","3691","PRIMARY","STORAGE BATTERIES"
"110000352332","SC-EFIS","SC0000002037","STATE MASTER","3691","UNKNOWN","STORAGE BATTERIES"
"110000352332","AIRS/AFS","4508500007","AIR SYNTHETIC MINOR","3691","PRIMARY","STORAGE BATTERIES"
"110000352332","SC-EFIS","SC0000048711","STATE MASTER","3691","UNKNOWN","STORAGE BATTERIES"
"110000352341","AIRS/AFS","4508500125","AIR MINOR","3599","PRIMARY","INDUSTRIAL AND COMMERCIAL MACHINERY AND EQUIPMENT, NOT ELSEWHERE CLASSIFIED"
"110000352341","OSHA-OIS","317890648","OSHA ESTABLISHMENT","3568","PRIMARY","MECHANICAL POWER TRANSMISSION EQUIPMENT, NOT ELSEWHERE CLASSIFIED"
