"","ObjectID","Loc_name","Status","Score","Match_type","Match_addr","LongLabel","ShortLabel","Addr_type","Type","PlaceName","Place_addr","Phone","URL","Rank","AddBldg","AddNum","AddNumFrom","AddNumTo","AddRange","Side","StPreDir","StPreType","StName","StType","StDir","BldgType","BldgName","LevelType","LevelName","UnitType","UnitName","SubAddr","StAddr","Block","Sector","Nbrhd","District","City","MetroArea","Subregion","Region","RegionAbbr","Territory","Zone","Postal","PostalExt","Country","CntryName","LangCode","Distance","X","Y","DisplayX","DisplayY","Xmin","Xmax","Ymin","Ymax","ExInfo","IN_Address","IN_Address2","IN_Address3","IN_Neighborhood","IN_City","IN_Subregion","IN_Region","IN_Postal","IN_PostalExt","IN_CountryCode","USER_Region","USER_State","USER_Borrower_Name","USER_State_Tracking_Number","USER_Type_of_Assistance","USER_Supplemental_Appropriation","USER_Latest_Agreement_Action","USER_Initial_Agreement_Date","USER_Initial_Agreement_Amount","USER_Date_of_Latest_Agreement_Action","USER_Current_Agreement_Amount","USER_Annual_Interest_Rate____","USER_Annual_Fee_Rate____","USER_Annual_Finance_Charge____","USER_Upfront_Fees","USER_Repayment_Period__Years_","USER_Includes_Additional_Subsidy_","USER_Additional_Subsidy_Amount","USER_Green_Project_Reserve__GPR__Total","USER_Hardship_Disadvantaged_Community_","USER_Programmatic_Finance_","USER_Sponsorship_Lending_","USER_Sponsorship_Lending__Implementing_Partner","USER_Conduit_Finance_","USER_Subagreements_To_Date","USER_Total_Non_SRF_Co_funding","USER_Non_SRF_Co_funding___Federal","USER_Non_SRF_Co_funding___State","USER_Non_SRF_Co_funding___Local","USER_Project_Name","USER_Project_Description","USER_Project_Needs_Categories","USER_Facility_Name","USER_NPDES_Permit_Number","USER_Population_Served_by_Project","USER_Project_Start","USER_Project_Completion_Date","USER_Affected_Waterbody_Designation","USER_CWA_Compliance_Objective","USER_Designated_Water_Use___Protect","USER_Designated_Water_Use___Restore","USER_Improvement_or_Maintenance_of_Receiving_Waterbody_","USER_Linked_Assistance_Agreement_","USER_Linked_Assistance_Agreement___State_Tracking_Number","geometry"
"11",11,"World","M",95.71,"A","City of Conover, North Carolina","City of Conover, NC, USA","City of Conover","Locality","City","City of Conover","City of Conover, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Conover","","Catawba County","North Carolina","NC","","","","","USA","United States","ENG",0,-81.21696,35.71516,-81.21696,35.71516,-81.26096,-81.17296,35.67116,35.75916,"","Conover, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Conover, City of","CS370436-06","Loan","Not Applicable","Initial Agreement",2022-10-18,1232000,2022-10-18,1232000,1.13,0,1.13,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Northeast WWTF Headworks Improvements","Replace the existing primary screen and grit removal systems.","Centralized Wastewater Treatment - Advanced Treatment: $1,232,000.00","NORTHEAST WWTP","NCG110145",7922,NA,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1341963.46319168, 722563.680981151)
"12",12,"World","M",95.39,"A","City of Dunn, North Carolina","City of Dunn, NC, USA","City of Dunn","Locality","City","City of Dunn","City of Dunn, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Dunn","","Harnett County","North Carolina","NC","","","","","USA","United States","ENG",0,-78.61436,35.31131,-78.61436,35.31131,-78.65236,-78.57636,35.27331,35.34931,"","Dunn, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Dunn, City of","CS370417-07","Loan","Not Applicable","Initial Agreement",2022-10-17,3626000,2022-10-17,3626000,0.13,0,0.13,0,30,"No",0,0,"No","No","No",NA,"No",0,8856100,0,8856100,0,"Black River WWTP Improvements","Install new clarifier distribution chamber,  new clarifier, new chlorine contact train; rehabilite existing clarifier and chlorine contact basin; replace process piping.","Centralized Wastewater Treatment - Advanced Treatment: $3,626,000.00","BLACK RIVER WASTEWATER TREATMENT PLANT","NCG110136",8434,2023-04-27,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(2115045.63634734, 568451.084518862)
"13",13,"World","M",96.48,"A","Town of Pittsboro, North Carolina","Town of Pittsboro, NC, USA","Town of Pittsboro","Locality","City","Town of Pittsboro","Town of Pittsboro, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","Town of Pittsboro","","Chatham County","North Carolina","NC","","","","","USA","United States","ENG",0,-79.17368,35.7238,-79.17368,35.7238,-79.20568,-79.14168,35.6918,35.7558,"","Pittsboro, Town of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Pittsboro, Town of","CS370413-06","Loan","Not Applicable","Initial Agreement",2022-10-14,26585500,2022-10-14,26585500,1.84,0,1.84,0,20,"Yes",500000,0,"Yes","No","No",NA,"No",0,0,0,0,0,"Wastewater Treatment System Improvements","Decommissioning of the existing Pittsboro WWTP activated sludge reactor and clarifier system and sludge thickening basins with conversion of existing tankages and basins to a combined equalization volume of approximately 1.1 MG, construction of a new headworks structure including mechanical bar screens and grit removal, a 3.0 MGD pump station, and approximately 14 miles of 18-inch force main to the City of Sanford Big Buffalo WWTP.","Centralized Wastewater Treatment - New Interceptors: $26,585,500.00","PITTSBORO WWTP","NC0020354",4592,NA,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1948449.66528696, 718405.484551262)
"14",14,"World","M",98.01,"A","Town of Southern Pines, North Carolina","Town of Southern Pines, NC, USA","Town of Southern Pines","Locality","City","Town of Southern Pines","Town of Southern Pines, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","Town of Southern Pines","","Moore County","North Carolina","NC","","","","","USA","United States","ENG",0,-79.40422,35.19191,-79.40422,35.19191,-79.45722,-79.35122,35.13891,35.24491,"","Southern Pines, Town of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Southern Pines, Town of","CS370893-01","Loan","ASADRA","Initial Agreement",2023-06-20,2998000,2023-06-20,2998000,1.1,0,1.1,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Warrior Woods Pump Station Relocation","Replacement and relocation of Warrior Woods Pump Station out of floodplain.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $2,998,000.00",NA,NA,15968,NA,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1879234.58961757, 525018.300104127)
"15",15,"World","M",95.61,"A","City of Graham, North Carolina","City of Graham, NC, USA","City of Graham","Locality","City","City of Graham","City of Graham, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Graham","","Alamance County","North Carolina","NC","","","","","USA","United States","ENG",0,-79.38918,36.05926,-79.38918,36.05926,-79.43118,-79.34718,36.01726,36.10126,"","Graham, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Graham, City of","CS370563-04","Loan","ASADRA","Initial Agreement",2022-09-29,82989500,2022-09-29,82989500,0.16,0,0.16,0,30,"Yes",1500000,0,"Yes","No","No",NA,"No",0,0,0,0,0,"WWTP Improvements","Expansion of existing wastewater treatment plant from 3.5MGD to 5.0 MGD","Centralized Wastewater Treatment - Advanced Treatment: $82,989,500.00","GRAHAM WWTP","NC0021211",17273,2022-11-03,NA,"Meeting Standards","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1884965.60445351, 840696.068570251)
"16",16,"World","M",98.01,"A","City of Albemarle, North Carolina","City of Albemarle, NC, USA","City of Albemarle","Locality","City","City of Albemarle","City of Albemarle, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Albemarle","","Stanly County","North Carolina","NC","","","","","USA","United States","ENG",0,-80.19207,35.36001,-80.19207,35.36001,-80.25207,-80.13207,35.30001,35.42001,"","Albemarle, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Albemarle, City of","CS370522-07","Loan","Not Applicable","Amendment",2022-08-05,6156000,2023-04-05,7711858,1.38,0,1.38,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Sewer Rehab","Rehabilitation and replacement of approximately 10,000 LF of gravity sewer from 8-inches to 24-inches in diameter.  Upgrade of electrical system at the WWTP.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $7,711,858.00",NA,NA,16044,2023-07-11,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1644597.49366105, 588085.996503343)
"17",17,"World","M",95.71,"A","City of Kinston, North Carolina","City of Kinston, NC, USA","City of Kinston","Locality","City","City of Kinston","City of Kinston, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Kinston","","Lenoir County","North Carolina","NC","","","","","USA","United States","ENG",0,-77.59379,35.27478,-77.59379,35.27478,-77.66279,-77.52479,35.20578,35.34378,"","Kinston, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Kinston, City of","CS370524-14","Loan","Not Applicable","Final Agreement",2022-08-10,3011065,2023-06-26,2778399,0.1,0,0.1,0,20,"Yes",500000,0,"Yes","No","No",NA,"No",0,0,0,0,0,"Briery Run Sewer Phase V Sewer Project","Briery Run Sewer Phase V Sewer Project","Centralized Wastewater Treatment - Sewer System Rehabilitation: $2,778,399.00",NA,NA,19546,2022-12-01,2023-06-23,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(2419681.42905578, 557905.114589418)
"18",18,"World","M",85.93,"M","Contentnea Creek","Contentnea Creek, Grifton, NC, USA","Contentnea Creek","POI","Stream","Contentnea Creek","Grifton, North Carolina"," "," ",20," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Grifton"," ","Pitt County","North Carolina","NC"," "," "," "," ","USA","United States","ENG",0,-77.38885,35.34044,-77.38885,35.34044,-79.88885,-74.88885,32.84044,37.84044,"MSD","Contentnea MSD",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Contentnea MSD","CS370398-04","Loan","Not Applicable","Final Agreement",2022-05-18,1645000,2023-06-20,1161357,1.18,0,1.18,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"WWTP Berm Improvement","Elevation of berm around WWTP to 28 feet, 3 feet above the 100-year flood elevation","Centralized Wastewater Treatment - Advanced Treatment: $1,161,357.00","CONTENTNEA SEWERAGE DISTRICT WWTP","NCG110060",17380,2022-09-26,2023-06-20,"Not Applicable","Maintain Compliance",NA,NA,"Maintenance","No",NA,c(2480452.63026182, 582728.464977187)
"19",19,"World","M",97.63,"A","City of Bessemer City, North Carolina","City of Bessemer City, NC, USA","City of Bessemer City","Locality","City","City of Bessemer City","City of Bessemer City, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Bessemer City","","Gaston County","North Carolina","NC","","","","","USA","United States","ENG",0,-81.28414,35.28467,-81.28414,35.28467,-81.31314,-81.25514,35.25567,35.31367,"","Bessemer City, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Bessemer City, City of","CS370763-03","Loan","Not Applicable","Initial Agreement",2022-07-14,1985000,2022-07-14,1985000,0,0,0,0,20,"Yes",500000,0,"Yes","No","No",NA,"No",0,0,0,0,0,"Vantine Pump Station and Sewer Replacement","Replace Vantine pump station, replace/extend 2,000 ft of 6-inch force main, and replace gravity sewer in several sewershed locations.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $1,985,000.00",NA,NA,5507,2024-01-01,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1318421.74394528, 566373.691668621)
"20",20,"World","M",98.01,"A","Town of Pilot Mountain, North Carolina","Town of Pilot Mountain, NC, USA","Town of Pilot Mountain","Locality","City","Town of Pilot Mountain","Town of Pilot Mountain, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","Town of Pilot Mountain","","Surry County","North Carolina","NC","","","","","USA","United States","ENG",0,-80.47295,36.38579,-80.47295,36.38579,-80.49095,-80.45495,36.36779,36.40379,"","Pilot Mountain, Town of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Pilot Mountain, Town of","CS370545-05","Loan","Not Applicable","Initial Agreement",2023-04-12,1922000,2023-04-12,1922000,0,0,0,0,20,"Yes",500000,0,"Yes","No","No",NA,"No",0,8078000,0,8078000,0,"WWTP Upgrades","Replace WWTP headworks, RAS/WAS pump station, chemical feed building; upgrade aeration basin, chlorine contact, sludge holding, dewatering, effluent pump station, and operations building.  Rehab electrical and install new generator.","Centralized Wastewater Treatment - Advanced Treatment: $1,922,000.00","PILOT MOUNTAIN WWTP","NC0026646",1477,NA,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1566401.92753057, 962563.277840745)
"21",21,"World","M",79.53,"M","Cape Fear, North Carolina","Cape Fear, NC, USA","Cape Fear","Locality","Village","Cape Fear","Cape Fear, North Carolina"," "," ",14.5," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Cape Fear"," ","Harnett County","North Carolina","NC"," "," "," "," ","USA","United States","ENG",0,-78.8120652,35.4230697,-78.8120652,35.4230697,-78.8190652,-78.8050652,35.4160697,35.4300697,"PUBLIC UTILITY AUTHORITY","Cape Fear Public Utility Authority",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Cape Fear Public Utility Authority","CS370923-13","Loan","Not Applicable","Amendment",2022-05-03,4590308,2023-11-22,5049339,1.1,0,1.1,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Rehabilitation & Replacement of Gravity Sewer in the Downtown Wilmington Area","Replacement of 9,867 LF of gravity sewer, 38 MHs, and 148 laterals; rehabilitation of  2,300 LF of 36-inch and 100 LF of 48-inch gravity sewer, and 9 manholes.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $5,049,339.00",NA,NA,192538,NA,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(2055988.54848792, 608956.017006175)
"22",22,"World","M",95.71,"A","Town of Ellerbe, North Carolina","Town of Ellerbe, NC, USA","Town of Ellerbe","Locality","City","Town of Ellerbe","Town of Ellerbe, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","Town of Ellerbe","","Richmond County","North Carolina","NC","","","","","USA","United States","ENG",0,-79.75965,35.07185,-79.75965,35.07185,-79.77865,-79.74065,35.05285,35.09085,"","Ellerbe, Town of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Ellerbe, Town of","CS370671-04","Loan","Not Applicable","Initial Agreement",2022-04-19,500000,2022-04-19,500000,0,0,0,0,20,"Yes",500000,0,"Yes","No","No",NA,"No",0,1597000,0,1597000,0,"Wastewater System Rehabilitation","Wastewater System Rehabilitation","Centralized Wastewater Treatment - Sewer System Rehabilitation: $500,000.00",NA,NA,864,2023-04-24,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1772712.98175167, 481947.440227167)
