"","ObjectID","Loc_name","Status","Score","Match_type","Match_addr","LongLabel","ShortLabel","Addr_type","Type","PlaceName","Place_addr","Phone","URL","Rank","AddBldg","AddNum","AddNumFrom","AddNumTo","AddRange","Side","StPreDir","StPreType","StName","StType","StDir","BldgType","BldgName","LevelType","LevelName","UnitType","UnitName","SubAddr","StAddr","Block","Sector","Nbrhd","District","City","MetroArea","Subregion","Region","RegionAbbr","Territory","Zone","Postal","PostalExt","Country","CntryName","LangCode","Distance","X","Y","DisplayX","DisplayY","Xmin","Xmax","Ymin","Ymax","ExInfo","IN_Address","IN_Address2","IN_Address3","IN_Neighborhood","IN_City","IN_Subregion","IN_Region","IN_Postal","IN_PostalExt","IN_CountryCode","USER_Region","USER_State","USER_Borrower_Name","USER_State_Tracking_Number","USER_Type_of_Assistance","USER_Supplemental_Appropriation","USER_Latest_Agreement_Action","USER_Initial_Agreement_Date","USER_Initial_Agreement_Amount","USER_Date_of_Latest_Agreement_Action","USER_Current_Agreement_Amount","USER_Annual_Interest_Rate____","USER_Annual_Fee_Rate____","USER_Annual_Finance_Charge____","USER_Upfront_Fees","USER_Repayment_Period__Years_","USER_Includes_Additional_Subsidy_","USER_Additional_Subsidy_Amount","USER_Green_Project_Reserve__GPR__Total","USER_Hardship_Disadvantaged_Community_","USER_Programmatic_Finance_","USER_Sponsorship_Lending_","USER_Sponsorship_Lending__Implementing_Partner","USER_Conduit_Finance_","USER_Subagreements_To_Date","USER_Total_Non_SRF_Co_funding","USER_Non_SRF_Co_funding___Federal","USER_Non_SRF_Co_funding___State","USER_Non_SRF_Co_funding___Local","USER_Project_Name","USER_Project_Description","USER_Project_Needs_Categories","USER_Facility_Name","USER_NPDES_Permit_Number","USER_Population_Served_by_Project","USER_Project_Start","USER_Project_Completion_Date","USER_Affected_Waterbody_Designation","USER_CWA_Compliance_Objective","USER_Designated_Water_Use___Protect","USER_Designated_Water_Use___Restore","USER_Improvement_or_Maintenance_of_Receiving_Waterbody_","USER_Linked_Assistance_Agreement_","USER_Linked_Assistance_Agreement___State_Tracking_Number","geometry"
"73",73,"World","M",96.1,"A","Town of Troutman, North Carolina","Town of Troutman, NC, USA","Town of Troutman","Locality","City","Town of Troutman","Town of Troutman, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","Town of Troutman","","Iredell County","North Carolina","NC","","","","","USA","United States","ENG",0,-80.8855,35.68873,-80.8855,35.68873,-80.9345,-80.8365,35.63973,35.73773,"","Troutman, Town of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Troutman, Town of","CS370580-05","Loan","Not Applicable","Initial Agreement",2020-03-06,856000,2020-03-06,856000,1.13,NA,1.13,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,NA,NA,"Centralized Wastewater Treatment - Sewer System Rehabilitation: $856,000.00",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"No",NA,c(1440151.61037636, 710912.36287806)
"78",78,"World","M",96.86,"A","City of Mount Holly, North Carolina","City of Mount Holly, NC, USA","City of Mount Holly","Locality","City","City of Mount Holly","City of Mount Holly, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Mount Holly","","Gaston County","North Carolina","NC","","","","","USA","United States","ENG",0,-81.01311,35.30751,-81.01311,35.30751,-81.06711,-80.95911,35.25351,35.36151,"","Mount Holly, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Mount Holly, City of","CS370747-01","Loan","Not Applicable","Initial Agreement",2019-12-11,18850000,2019-12-11,18850000,1.38,0,1.38,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Mount Holly WWTP Regionalization Project","Installation of pump station, 3,700 LF of dual 24-inch FM, and equalization tanks to regionalize with Charlotte at future Long Creek WWTP","Centralized Wastewater Treatment - Advanced Treatment: $18,850,000.00","MOUNT HOLLY WWTP","NC0021156",16135,2022-01-10,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1399452.74120858, 572934.102023471)
"82",82,"World","M",100,"M","Burke County, North Carolina","Burke County, NC, USA","Burke County","Locality","County","Burke County","North Carolina"," "," ",10," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Burke County","North Carolina","NC"," "," "," "," ","USA","United States","ENG",0,-81.704734405808,35.749589323232,-81.704734405808,35.749589323232,-81.970734405808,-81.438734405808,35.483589323232,36.015589323232," ","Burke County",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Burke County","CS370400-01","Loan","Not Applicable","Final Agreement",2019-05-21,1634000,2020-10-20,1618212,0,0,0,0,20,"Yes",500000,0,"No","No","No",NA,"No",0,0,0,0,0,"Eckard Creek Pump Station Rehab","Reconfiguration of existing 1,000 GPM dry-pit pump station to include two (2) 1,000 GPM suction-lift pumps with VFD’s; replacement of approximately 7,600 LF of existing 12-inch force main and abandonment in place of existing force main; including removal and replacement of pavement, roadways, driveways and curbs, sedimentation and erosion control devices, electric work, valves, yard piping, vaults, associated appurtenances.

Bid alternates include the cost for Gorman-Rupp pumps, replacement of the existing 175kW generator, and replacement of the mechanical bar screen with a new channel grinder.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $1,618,212.00",NA,NA,89293,2019-10-01,2020-07-27,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1197556.58915945, 738679.846991181)
"96",96,"World","M",98.01,"A","City of Charlotte, North Carolina","City of Charlotte, NC, USA","City of Charlotte","Locality","City","City of Charlotte","City of Charlotte, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Charlotte","","Mecklenburg County","North Carolina","NC","","","","","USA","United States","ENG",0,-80.83082,35.20797,-80.83082,35.20797,-81.08082,-80.58082,34.95797,35.45797,"","Charlotte, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Charlotte, City of","CS370377-15","Loan","Not Applicable","Amendment",2018-05-08,60000000,2019-08-12,68366084,1.71,NA,1.71,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"McAlpine Creek WWMF Clarifier and Aeration Rehab Project","Rehabilitation of 16 secondary clarifiers including RAS pumping modifications, 28 aeration basins including blowers, diffusers, piping, instrumentation and ancillary components.   (PROJECT FUNDING WILL BE REQUESTED OVER 5 FUNDING CYCLES)","Centralized Wastewater Treatment - Sewer System Rehabilitation: $68,366,084.00","McAlpine Creek WWMF",NA,0,NA,NA,NA,NA,NA,NA,NA,"No",NA,c(1453158.59041887, 535660.143745806)
"106",106,"World","M",97.63,"M","Town of Taylorsville, North Carolina","Town of Taylorsville, NC, USA","Town of Taylorsville","Locality","City","Town of Taylorsville","Town of Taylorsville, North Carolina"," "," ",19," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Town of Taylorsville"," ","Alexander County","North Carolina","NC"," "," "," "," ","USA","United States","ENG",0,-81.17559,35.91747,-81.17559,35.91747,-81.21059,-81.14059,35.88247,35.95247," ","Taylorsville, Town of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Taylorsville, Town of","CS370700-07","Loan","Not Applicable","Initial Agreement",2017-09-14,306500,2017-09-14,306500,0,0,0,0,20,"No",0,306500,"No","No","No",NA,"No",0,0,0,0,0,"Taylorsville WWTP Renewable Energy Project","Taylorsville WWTP Renewable Energy Project: Installation of 100KW photovoltaic renewable energy system to produce 80KW of power.","Energy Conservation - Energy Efficiency: $306,500.00","The Town of Taylorsville Wastewater Treatment Plant",NA,0,NA,NA,NA,NA,NA,NA,NA,"No",NA,c(1355854.65823491, 795914.814261687)
"117",117,"World","M",98.01,"A","City of Charlotte, North Carolina","City of Charlotte, NC, USA","City of Charlotte","Locality","City","City of Charlotte","City of Charlotte, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Charlotte","","Mecklenburg County","North Carolina","NC","","","","","USA","United States","ENG",0,-80.83082,35.20797,-80.83082,35.20797,-81.08082,-80.58082,34.95797,35.45797,"","Charlotte, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Charlotte, City of","CS370377-14","Loan","Not Applicable","Final Agreement",2017-04-13,20881929,2021-03-19,20881929,0.56,NA,0.56,0,20,"No",0,12529157,"No","No","No",NA,"No",0,0,0,0,0,"Sugar Creek WWTP Reliability Improvements Project","Rehabilitation of Sugar Creek WWTP to include aeration basin improvements (replacing diffusers, new influent distribution box, modify zoning), rehabilitation and/or replacement of blowers, pumps at the main PS, sluice gates, effluent filters, and final clarifier launders; installation of chemical phosphorous removal and SCADA; and demolition of the chorline contact chamber.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $8,352,772.00<br> Energy Conservation - Energy Efficiency: $12,529,157.00","Sugar Creek WWTP",NA,0,2017-04-13,2020-06-05,NA,NA,NA,NA,NA,"No",NA,c(1453158.59041887, 535660.143745806)
"126",126,"World","M",97.63,"M","Town of Taylorsville, North Carolina","Town of Taylorsville, NC, USA","Town of Taylorsville","Locality","City","Town of Taylorsville","Town of Taylorsville, North Carolina"," "," ",19," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Town of Taylorsville"," ","Alexander County","North Carolina","NC"," "," "," "," ","USA","United States","ENG",0,-81.17559,35.91747,-81.17559,35.91747,-81.21059,-81.14059,35.88247,35.95247," ","Taylorsville, Town of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Taylorsville, Town of","CS370700-06","Loan","Not Applicable","Final Agreement",2016-06-20,1500000,2019-09-17,1497738,0,NA,0,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Wastewater Treatment Plant Improvements-Rehabilitation","2015 WWTP Rehabilitation Project - improvements to WWTP clarifiers, blowers, RAS pumps, generator, grinder, screens, office and addition of dewatering facilities","Centralized Wastewater Treatment - Secondary Treatment: $1,497,738.00",NA,"NC0026271",0,2017-03-06,NA,"Meeting Standards","Maintain Compliance","Class C: Secondary<br><br>Water Supply IV (WS-IV): Secondary",NA,"Maintenance","No",NA,c(1355854.65823491, 795914.814261687)
"127",127,"World","M",97.63,"M","Town of Taylorsville, North Carolina","Town of Taylorsville, NC, USA","Town of Taylorsville","Locality","City","Town of Taylorsville","Town of Taylorsville, North Carolina"," "," ",19," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Town of Taylorsville"," ","Alexander County","North Carolina","NC"," "," "," "," ","USA","United States","ENG",0,-81.17559,35.91747,-81.17559,35.91747,-81.21059,-81.14059,35.88247,35.95247," ","Taylorsville, Town of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Taylorsville, Town of","CS370700-05","Loan","Not Applicable","Final Agreement",2016-06-20,1085575,2019-09-18,1035726,0,NA,0,0,20,"Yes",500000,0,"No","No","No",NA,"No",0,0,0,0,0,"Sewer Rehabilitation","2015 Collection System Rehab Project - the rehabilitation of approximately 18,000 lf of gravity sewer, including CCTV and smoke testing a total of 68,000 lf sewer","Centralized Wastewater Treatment - Sewer System Rehabilitation: $1,035,726.00",NA,NA,0,NA,NA,"Meeting Standards","Maintain Compliance","Class C: Secondary<br><br>Water Supply IV (WS-IV): Secondary",NA,"Maintenance","No",NA,c(1355854.65823491, 795914.814261687)
"133",133,"World","M",97.24,"A","City of Hickory, North Carolina","City of Hickory, NC, USA","City of Hickory","Locality","City","City of Hickory","City of Hickory, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Hickory","","Catawba County","North Carolina","NC","","","","","USA","United States","ENG",0,-81.32302,35.74255,-81.32302,35.74255,-81.40402,-81.24202,35.66155,35.82355,"","Hickory, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Hickory, City of","CS370389-21","Loan","Not Applicable","Final Agreement",2016-05-09,3519475,2020-08-06,2980352,1.66,0,1.66,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Geitner Basin Sewer System Rehab","Rehabilitate approximately 4,440 LF of 8-10 inch sewer, replace approximately 690 LF of 8-12 inch sewer line with same size pipe, Replacement or rehabilitation of approximately 57 manholes.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $2,980,352.00",NA,NA,40,2017-02-27,2020-08-06,"Meeting Standards","Maintain Compliance","Class C: Secondary<br><br>Class C: Secondary",NA,"Maintenance","No",NA,c(1310721.70033322, 733250.434163489)
"135",135,"World","M",97.24,"A","City of Hickory, North Carolina","City of Hickory, NC, USA","City of Hickory","Locality","City","City of Hickory","City of Hickory, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Hickory","","Catawba County","North Carolina","NC","","","","","USA","United States","ENG",0,-81.32302,35.74255,-81.32302,35.74255,-81.40402,-81.24202,35.66155,35.82355,"","Hickory, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Hickory, City of","CS370389-20","Loan","Not Applicable","Final Agreement",2016-05-09,1364100,2020-03-02,1364100,1.66,NA,1.66,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Central Business District (CBD) Infrastructure Renewal Project","Replace 1,500 LF of 6-inch clay pipe with 8-inch sewer, Replace/Rehab approximately  2,700 LF of 8-12 inch sewer and construction/repair of 43 manholes.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $1,364,100.00",NA,NA,0,2017-02-06,2017-12-04,"Meeting Standards","Maintain Compliance","Class C: Secondary",NA,"Maintenance","No",NA,c(1310721.70033322, 733250.434163489)
"140",140,"World","M",98.75,"A","Granite Falls Town Office","Granite Falls Town Office, 30 Park Ave, Granite Falls, NC, 28630, USA","Granite Falls Town Office","POI","Government Office","Granite Falls Town Office","30 Park Ave, Granite Falls, North Carolina, 28630","(828) 396-3131","www.granitefallsnc.com",22,"","30","","","","","","","Park","Ave","","","","","","","","","30 Park Ave","","","","","Granite Falls","","Caldwell County","North Carolina","NC","","","28630","","USA","United States","ENG",0,-81.428563981211,35.77849892164,-81.4285701,35.7784089,-81.4335701,-81.4235701,35.7734089,35.7834089,"","Granite Falls, Town of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Granite Falls, Town of","CS370372-03","Loan","Not Applicable","Amendment",2015-11-16,600000,2018-08-10,508880,1.83,NA,1.83,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Installation of an additional 250,000 gallon sludge storage tank","Installation of an additional 250,000 gallon sludge storage tank","Centralized Wastewater Treatment - Secondary Treatment: $508,880.00",NA,"NC0082546",0,2017-03-01,2017-09-01,"Meeting Standards","Maintain Compliance",NA,NA,"Maintenance","No",NA,c(1279728.64312306, 747048.388521384)
"141",141,"World","M",98.75,"A","Granite Falls Town Office","Granite Falls Town Office, 30 Park Ave, Granite Falls, NC, 28630, USA","Granite Falls Town Office","POI","Government Office","Granite Falls Town Office","30 Park Ave, Granite Falls, North Carolina, 28630","(828) 396-3131","www.granitefallsnc.com",22,"","30","","","","","","","Park","Ave","","","","","","","","","30 Park Ave","","","","","Granite Falls","","Caldwell County","North Carolina","NC","","","28630","","USA","United States","ENG",0,-81.428563981211,35.77849892164,-81.4285701,35.7784089,-81.4335701,-81.4235701,35.7734089,35.7834089,"","Granite Falls, Town of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Granite Falls, Town of","CS370372-02","Loan","Not Applicable","Initial Agreement",2015-11-16,1900000,2015-11-16,1900000,1.83,NA,1.83,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Replacement of existing arc screen and grit air lift pump: construction of 20,000 lf of force main","Replacement of existing arc screen and grit air lift pump: construction of 20,000 lf of force main to the Albemarle WWTP","Centralized Wastewater Treatment - Secondary Treatment: $1,900,000.00",NA,"NC0021890",0,2016-07-07,2017-06-20,"Meeting Standards","Maintain Compliance",NA,NA,"Maintenance","No",NA,c(1279728.64312306, 747048.388521384)
"142",142,"World","M",98.75,"A","Granite Falls Town Office","Granite Falls Town Office, 30 Park Ave, Granite Falls, NC, 28630, USA","Granite Falls Town Office","POI","Government Office","Granite Falls Town Office","30 Park Ave, Granite Falls, North Carolina, 28630","(828) 396-3131","www.granitefallsnc.com",22,"","30","","","","","","","Park","Ave","","","","","","","","","30 Park Ave","","","","","Granite Falls","","Caldwell County","North Carolina","NC","","","28630","","USA","United States","ENG",0,-81.428563981211,35.77849892164,-81.4285701,35.7784089,-81.4335701,-81.4235701,35.7734089,35.7834089,"","Granite Falls, Town of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Granite Falls, Town of","CS370372-01","Loan","Not Applicable","Initial Agreement",2015-11-16,610000,2015-11-16,610000,1.83,NA,1.83,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Replacement of two 45 year old wastewater pump stations","Replacement of two 45 year old wastewater pump stations","Centralized Wastewater Treatment - Sewer System Rehabilitation: $610,000.00",NA,NA,0,2016-07-07,2017-01-16,NA,NA,NA,NA,NA,"No",NA,c(1279728.64312306, 747048.388521384)
"158",158,"World","M",95.71,"A","Town of Stanley, North Carolina","Town of Stanley, NC, USA","Town of Stanley","Locality","City","Town of Stanley","Town of Stanley, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","Town of Stanley","","Gaston County","North Carolina","NC","","","","","USA","United States","ENG",0,-81.0937,35.3552,-81.0937,35.3552,-81.1217,-81.0657,35.3272,35.3832,"","Stanley, Town of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Stanley, Town of","CS370746-02","Loan","Not Applicable","Final Agreement",2015-07-15,2754220,2018-07-20,3029642,1.92,NA,1.92,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Stanley Sewer Interconnect, Phase II","Stanley Sewer Interconnect, Phase II to Gastonia.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $3,029,642.00",NA,"NC0020184",0,2016-11-14,2018-04-25,"Meeting Standards","Maintain Compliance","Water Supply IV (WS-IV): Secondary",NA,"Improvement","No",NA,c(1375780.82233656, 590784.383920205)
"162",162,"World","M",98.01,"A","City of Charlotte, North Carolina","City of Charlotte, NC, USA","City of Charlotte","Locality","City","City of Charlotte","City of Charlotte, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Charlotte","","Mecklenburg County","North Carolina","NC","","","","","USA","United States","ENG",0,-80.83082,35.20797,-80.83082,35.20797,-81.08082,-80.58082,34.95797,35.45797,"","Charlotte, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Charlotte, City of","CS370377-13","Loan","Not Applicable","Amendment",2015-05-11,3266736,2017-08-03,4527301,0,NA,0,0,20,"No",0,3266736,"No","No","No",NA,"No",0,0,0,0,0,"McAlpine Creek WWTP Combined Heat and Power Project","McAlpine Creek WWTP Combined Heat and Power Project - Construction of combined Heat and Power generation (1MW and 7,884,000 kWh per year)","Centralized Wastewater Treatment - Advanced Treatment: $4,527,301.00","McAlpine Creek WWTP ","NCG110010",0,2016-04-11,2017-03-20,"Impaired","Not Applicable",NA,NA,"Maintenance","No",NA,c(1453158.59041887, 535660.143745806)
"163",163,"World","M",95.71,"A","City of Belmont, North Carolina","City of Belmont, NC, USA","City of Belmont","Locality","City","City of Belmont","City of Belmont, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Belmont","","Gaston County","North Carolina","NC","","","","","USA","United States","ENG",0,-81.03852,35.23088,-81.03852,35.23088,-81.08752,-80.98952,35.18188,35.27988,"","Belmont, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Belmont, City of","CS370702-06","Loan","Not Applicable","Initial Agreement",2015-03-09,2206490,2015-03-09,2206490,2.21,NA,2.21,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Sewer Replacement Project","Replacement of 5,000 lf of 8-inch sewer main; replacement of 1,700 lf of 6-inch gravity sewer; rehabilitation of 3,300 lf of gravity sewer","Centralized Wastewater Treatment - Sewer System Rehabilitation: $2,206,490.00",NA,NA,0,2016-05-23,NA,"Not Assessed","Maintain Compliance",NA,NA,"Maintenance","No",NA,c(1391300.8674198, 545205.383630265)
"166",166,"World","M",95.71,"A","Town of Valdese","Town of Valdese, 400 W Main St, Valdese, NC, 28690, USA","Town of Valdese","POI","Performing Arts","Town of Valdese","400 W Main St, Valdese, North Carolina, 28690","(828) 879-2129","www.visitvaldese.com",17,"","400","","","","","W","","Main","St","","","","","","","","","400 W Main St","","","","","Valdese","","Burke County","North Carolina","NC","","","28690","2728","USA","United States","ENG",0,-81.566767537336,35.744193536268,-81.566833,35.744705,-81.571833,-81.561833,35.739705,35.749705,"","Valdese, Town of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Valdese, Town of","CS370396-08","Loan","Not Applicable","Final Agreement",2014-10-14,285917,2016-12-08,230913,0,0,0,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"I/I project","I/I project","Centralized Wastewater Treatment - Infiltration/Inflow Correction: $230,913.00",NA,NA,4477,2016-02-02,2016-08-10,"Meeting Standards","Maintain Compliance","Water Supply IV (WS-IV): Secondary<br><br>Water Supply IV (WS-IV): Secondary",NA,"Maintenance","No",NA,c(1238414.0043469, 735816.296537841)
"175",175,"World","M",97.63,"A","City of Bessemer City, North Carolina","City of Bessemer City, NC, USA","City of Bessemer City","Locality","City","City of Bessemer City","City of Bessemer City, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Bessemer City","","Gaston County","North Carolina","NC","","","","","USA","United States","ENG",0,-81.28414,35.28467,-81.28414,35.28467,-81.31314,-81.25514,35.25567,35.31367,"","Bessemer City, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Bessemer City, City of","CS370763-02","Loan","Not Applicable","Final Agreement",2014-04-02,1565000,2017-11-02,2309529,0,NA,0,0,20,"Yes",782500,0,"No","No","No",NA,"No",0,0,0,0,0,"Sewer System Improvements","The replacement of approximately 8,000 lf of 8-in gravity sewer mains and backup generators at 8 pump stations.","Centralized Wastewater Treatment - Infiltration/Inflow Correction: $2,309,529.00",NA,NA,0,2016-01-11,2017-11-26,"Meeting Standards","Maintain Compliance",NA,NA,"Maintenance","No",NA,c(1318421.74394528, 566373.691668621)
"182",182,"World","M",95.61,"A","City of Lenoir, North Carolina","City of Lenoir, NC, USA","City of Lenoir","Locality","City","City of Lenoir","City of Lenoir, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Lenoir","","Caldwell County","North Carolina","NC","","","","","USA","United States","ENG",0,-81.52701,35.90574,-81.52701,35.90574,-81.60801,-81.44601,35.82474,35.98674,"","Lenoir, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Lenoir, City of","CS370393-06","Loan","Not Applicable","Final Agreement",2013-12-05,1275000,2018-06-14,1541984,0,NA,0,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Meadowood Sewer Replacement","The complete replacementj of approximately 8,000 linear feet of 12-in gravity main.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $1,541,984.00",NA,NA,0,2015-08-24,2016-06-22,"Impaired","Achieve Compliance",NA,"Class C: Secondary<br><br>Water Supply IV (WS-IV): Secondary","Maintenance","No",NA,c(1251718.99636254, 794110.786917451)
"207",207,"World","M",96.8,"A","Drexel Township, North Carolina","Drexel Township, NC, USA","Drexel Township","Locality","City","Drexel Township","Township of Drexel, North Carolina","","",21,"","","","","","","","","","","","","","","","","","","","","","","","Township of Drexel","","Burke County","North Carolina","NC","","","","","USA","United States","ENG",0,-81.60039,35.75527,-81.60039,35.75527,-81.64039,-81.56039,35.71527,35.79527,"OF","Drexel, Town of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Drexel, Town of","CS370677-01","Loan","Not Applicable","Final Agreement",2013-06-11,471086,2015-09-29,471086,0,NA,0,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Sewer Pump Station Replacement Project","(1) constructing a new approximately 735 gallon per minute (gpm) submersible duplex pump station adjacent to the existing 700 gpm pump station, (2) extending approximately 100 linear feet of piping to reconfigure the flow to the new pump station, (3) adding a new backup generator, electrical controls and related appurtenances to make the new pump station operational and (4) abandoning the existing pump station. ","Centralized Wastewater Treatment - Sewer System Rehabilitation: $471,086.00",NA,NA,0,2014-08-11,2015-06-26,"Meeting Standards",NA,NA,NA,NA,"No",NA,c(1228560.54144118, 739919.660028415)
"210",210,"World","M",95.61,"A","City of Lenoir, North Carolina","City of Lenoir, NC, USA","City of Lenoir","Locality","City","City of Lenoir","City of Lenoir, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Lenoir","","Caldwell County","North Carolina","NC","","","","","USA","United States","ENG",0,-81.52701,35.90574,-81.52701,35.90574,-81.60801,-81.44601,35.82474,35.98674,"","Lenoir, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Lenoir, City of","CS370393-05","Loan","Not Applicable","Final Agreement",2013-05-13,578500,2015-09-14,578500,0,NA,0,0,20,"Yes",289250,0,"No","No","No",NA,"No",0,0,0,0,0,"Powell Road Greenway Sewer Replacement","Replacement of approximatley 5,320 linear feet of 12-in sanitary sewer near Zack' Fork a tributary of Lower Creek","Centralized Wastewater Treatment - Sewer System Rehabilitation: $578,500.00",NA,NA,0,2014-10-06,2015-05-26,NA,NA,"Class C: Primary",NA,NA,"No",NA,c(1251718.99636254, 794110.786917451)
"213",213,"World","M",95.61,"A","City of Lenoir, North Carolina","City of Lenoir, NC, USA","City of Lenoir","Locality","City","City of Lenoir","City of Lenoir, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Lenoir","","Caldwell County","North Carolina","NC","","","","","USA","United States","ENG",0,-81.52701,35.90574,-81.52701,35.90574,-81.60801,-81.44601,35.82474,35.98674,"","Lenoir, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Lenoir, City of","CS370393-04","Loan","Not Applicable","Final Agreement",2013-04-09,4170000,2016-10-27,4093662,0,NA,0,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Gunpowder Creek WWTP Improvements","The proposed project includes: (1) a new 900,000-gallon sequencing batch reactor (SBR); (2) replacement of diffusers and equipment; (3) blower line repairs; (4) SCADA, instrumentation, controls, and other electrical equipment; and (5) piping and valves improvements.","Centralized Wastewater Treatment - Secondary Treatment: $4,093,662.00",NA,"NC0023736",0,2014-07-28,2016-04-18,"Impaired","Achieve Compliance","Water Supply IV (WS-IV): Primary",NA,"Improvement","No",NA,c(1251718.99636254, 794110.786917451)
